full_name, age, birthday, birthday_GMT, league, season, position, Current_Club, minutes_played_overall, minutes_played_home, minutes_played_away, nationality, appearances_overall, appearances_home, appearances_away, goals_overall, goals_home, goals_away, assists_overall, assists_home, assists_away, penalty_goals, penalty_misses, clean_sheets_overall, clean_sheets_home, clean_sheets_away, conceded_overall, conceded_home, conceded_away, yellow_cards_overall, red_cards_overall, goals_involved_per_90_overall, assists_per_90_overall, goals_per_90_overall, goals_per_90_home, goals_per_90_away, min_per_goal_overall, conceded_per_90_overall, min_per_conceded_overall, min_per_match, min_per_card_overall, min_per_assist_overall, cards_per_90_overall, rank_in_league_top_attackers, rank_in_league_top_midfielders, rank_in_league_top_defenders, rank_in_club_top_scorer
Ryan Fraser, 28, 762076800, 1994/02/24, Premier League, 2018/2019, Midfielder, AFC Bournemouth, 3173, 1605, 1568, Scotland, 38, 19, 19, 7, 5, 2, 14, 5, 9, 0, 0, 10, 6, 4, 61, 23, 38, 2, 0, 0.6, 0.4, 0.2, 0.28, 0.11, 453, 1.73, 52, 84, 1587, 227, 0.06, 95, 9, -1, 3
Javier Hernandez, 34, 581151600, 1988/06/01, Premier League, 2018/2019, Forward, West Ham United, 1335, 694, 641, Mexico, 25, 13, 12, 7, 5, 2, 1, 0, 1, 0, 0, 3, 1, 2, 16, 8, 8, 2, 0, 0.54, 0.07, 0.47, 0.65, 0.28, 191, 1.08, 83, 53, 668, 1335, 0.13, 23, 186, -1, 3
James Ward-Prowse, 27, 783676800, 1994/11/01, Premier League, 2018/2019, Midfielder, Southampton, 1942, 942, 1000, England, 26, 13, 13, 7, 5, 2, 0, 0, 0, 1, 0, 4, 2, 2, 36, 15, 21, 4, 0, 0.32, 0, 0.32, 0.48, 0.18, 277, 1.67, 54, 75, 486, 0, 0.19, 58, 347, -1, 1
David Brooks, 25, 868345200, 1997/07/08, Premier League, 2018/2019, Forward, AFC Bournemouth, 2278, 1289, 989, England, 30, 17, 13, 7, 4, 3, 5, 3, 2, 0, 0, 9, 5, 4, 39, 17, 22, 3, 0, 0.47, 0.2, 0.28, 0.28, 0.27, 325, 1.54, 58, 76, 759, 456, 0.12, 68, 66, -1, 4
James Maddison, 25, 848736000, 1996/11/23, Premier League, 2018/2019, Midfielder, Leicester City, 2850, 1535, 1315, England, 36, 18, 18, 7, 3, 4, 7, 4, 3, 1, 1, 8, 5, 3, 39, 18, 21, 5, 1, 0.44, 0.22, 0.22, 0.18, 0.27, 407, 1.23, 73, 79, 570, 407, 0.16, 83, 60, -1, 2
Daniel William John Ings, 30, 711874800, 1992/07/23, Premier League, 2018/2019, Forward, Southampton, 1668, 922, 746, England, 24, 13, 11, 7, 3, 4, 3, 3, 0, 3, 0, 6, 2, 4, 26, 13, 13, 1, 0, 0.54, 0.16, 0.38, 0.29, 0.48, 238, 1.4, 64, 70, 1668, 556, 0.05, 39, 87, -1, 2
Bernardo Silva, 28, 776502000, 1994/08/10, Premier League, 2018/2019, Midfielder, Manchester City, 2853, 1470, 1383, Portugal, 36, 18, 18, 7, 2, 5, 7, 4, 3, 0, 0, 18, 8, 10, 22, 11, 11, 3, 0, 0.44, 0.22, 0.22, 0.12, 0.33, 408, 0.69, 130, 79, 951, 408, 0.09, 85, 58, -1, 5
Riyad Mahrez, 31, 667123200, 1991/02/21, Premier League, 2018/2019, Midfielder, Manchester City, 1339, 647, 692, Algeria, 27, 14, 13, 7, 1, 6, 4, 2, 2, 0, 1, 13, 6, 7, 9, 4, 5, 0, 0, 0.74, 0.27, 0.47, 0.14, 0.78, 191, 0.6, 149, 50, 0, 335, 0, 22, 32, -1, 6
Xherdan Shaqiri, 31, 687078000, 1991/10/10, Premier League, 2018/2019, Midfielder, Liverpool, 1058, 538, 520, Switzerland, 24, 12, 12, 6, 5, 1, 3, 0, 3, 0, 0, 12, 7, 5, 5, 3, 2, 2, 0, 0.77, 0.26, 0.51, 0.84, 0.17, 176, 0.43, 212, 44, 529, 353, 0.17, 15, 39, -1, 4
Xherdan Shaqiri, 31, 687078000, 1991/10/10, Premier League, 2018/2019, Midfielder, Liverpool, 1058, 538, 520, Switzerland, 24, 12, 12, 6, 5, 1, 3, 0, 3, 0, 0, 12, 7, 5, 5, 3, 2, 2, 0, 0.77, 0.26, 0.51, 0.84, 0.17, 176, 0.43, 212, 44, 529, 353, 0.17, 15, 39, -1, 4
Roberto Maximiliano Pereyra, 31, 663235200, 1991/01/07, Premier League, 2018/2019, Forward, Watford, 2825, 1467, 1358, Argentina, 33, 17, 16, 6, 5, 1, 1, 0, 1, 0, 0, 5, 3, 2, 52, 27, 25, 3, 0, 0.22, 0.03, 0.19, 0.31, 0.07, 471, 1.66, 54, 86, 942, 2825, 0.1, 97, 251, -1, 4
David Silva, 36, 505555200, 1986/01/08, Premier League, 2018/2019, Midfielder, Manchester City, 2411, 1088, 1323, Spain, 33, 16, 17, 6, 4, 2, 8, 3, 5, 0, 0, 17, 8, 9, 14, 7, 7, 3, 0, 0.52, 0.3, 0.22, 0.33, 0.14, 402, 0.52, 172, 73, 804, 301, 0.11, 88, 22, -1, 7
Nathan Redmond, 28, 762940800, 1994/03/06, Premier League, 2018/2019, Midfielder, Southampton, 3276, 1633, 1643, England, 38, 19, 19, 6, 4, 2, 4, 2, 2, 0, 0, 7, 3, 4, 53, 22, 31, 3, 0, 0.27, 0.11, 0.16, 0.22, 0.11, 546, 1.46, 62, 86, 1092, 819, 0.08, 116, 137, -1, 3
Michail Antonio, 32, 638611200, 1990/03/28, Premier League, 2018/2019, Midfielder, West Ham United, 2099, 998, 1101, England, 33, 16, 17, 6, 4, 2, 4, 2, 2, 0, 0, 5, 3, 2, 26, 10, 16, 3, 0, 0.43, 0.17, 0.26, 0.36, 0.16, 350, 1.11, 81, 64, 700, 525, 0.13, 77, 85, -1, 4
İlkay Gündoğan, 32, 656751600, 1990/10/24, Premier League, 2018/2019, Midfielder, Manchester City, 2135, 985, 1150, Germany, 31, 15, 16, 6, 4, 2, 3, 0, 3, 0, 0, 15, 6, 9, 15, 8, 7, 3, 0, 0.38, 0.13, 0.25, 0.37, 0.16, 356, 0.63, 142, 69, 712, 712, 0.13, 78, 120, -1, 8
Henrikh Mkhitaryan, 33, 601372800, 1989/01/21, Premier League, 2018/2019, Midfielder, Arsenal, 1643, 650, 993, Armenia, 25, 11, 14, 6, 3, 3, 4, 3, 1, 0, 0, 4, 3, 1, 25, 9, 16, 1, 0, 0.55, 0.22, 0.33, 0.42, 0.27, 274, 1.37, 66, 66, 1643, 411, 0.05, 53, 56, -1, 3
Dominic Calvert-Lewin, 25, 858499200, 1997/03/16, Premier League, 2018/2019, Forward, Everton, 1774, 1023, 751, England, 35, 18, 17, 6, 3, 3, 2, 2, 0, 0, 0, 13, 8, 5, 24, 12, 12, 3, 0, 0.41, 0.1, 0.3, 0.26, 0.36, 296, 1.22, 74, 51, 591, 887, 0.15, 65, 145, -1, 3
Ruben Loftus-Cheek, 26, 822384000, 1996/01/23, Premier League, 2018/2019, Midfielder, Chelsea, 983, 507, 476, England, 24, 12, 12, 6, 3, 3, 2, 2, 0, 0, 0, 12, 9, 3, 8, 2, 6, 0, 0, 0.73, 0.18, 0.55, 0.53, 0.57, 164, 0.73, 123, 41, 0, 492, 0, 11, 83, -1, 3
André Schürrle, 31, 657878400, 1990/11/06, Premier League, 2018/2019, Midfielder, Fulham, 1650, 829, 821, Germany, 24, 12, 12, 6, 3, 3, 0, 0, 0, 0, 0, 1, 0, 1, 42, 20, 22, 2, 0, 0.33, 0, 0.33, 0.33, 0.33, 275, 2.29, 39, 69, 825, 0, 0.11, 54, 417, -1, 2
Andros Townsend, 31, 679647600, 1991/07/16, Premier League, 2018/2019, Midfielder, Crystal Palace, 3018, 1571, 1447, England, 38, 19, 19, 6, 2, 4, 4, 2, 2, 0, 0, 12, 7, 5, 44, 20, 24, 1, 0, 0.3, 0.12, 0.18, 0.11, 0.25, 503, 1.31, 69, 79, 3018, 755, 0.03, 102, 127, -1, 3
Víctor Camarasa, 28, 770108400, 1994/05/28, Premier League, 2018/2019, Midfielder, Cardiff City, 2579, 1267, 1312, Spain, 32, 16, 16, 5, 4, 1, 4, 1, 3, 1, 0, 8, 4, 4, 48, 25, 23, 6, 0, 0.31, 0.14, 0.17, 0.28, 0.07, 516, 1.68, 54, 81, 430, 645, 0.21, 111, 106, -1, 1
Víctor Camarasa, 28, 770108400, 1994/05/28, Premier League, 2018/2019, Midfielder, Cardiff City, 2579, 1267, 1312, Spain, 32, 16, 16, 5, 4, 1, 4, 1, 3, 1, 0, 8, 4, 4, 48, 25, 23, 6, 0, 0.31, 0.14, 0.17, 0.28, 0.07, 516, 1.68, 54, 81, 430, 645, 0.21, 111, 106, -1, 1
Mesut Özil, 34, 592902000, 1988/10/15, Premier League, 2018/2019, Midfielder, Arsenal, 1741, 1139, 602, Germany, 24, 14, 10, 5, 4, 1, 2, 2, 0, 0, 0, 6, 5, 1, 23, 11, 12, 2, 0, 0.36, 0.1, 0.26, 0.32, 0.15, 348, 1.19, 76, 73, 871, 871, 0.1, 73, 151, -1, 4
Bobby Reid, 29, 728640000, 1993/02/02, Premier League, 2018/2019, Midfielder, Cardiff City, 1422, 725, 697, England, 27, 11, 16, 5, 4, 1, 2, 1, 1, 1, 0, 6, 2, 4, 27, 19, 8, 0, 0, 0.44, 0.13, 0.32, 0.5, 0.13, 284, 1.71, 53, 53, 0, 711, 0, 55, 115, -1, 2
Gonzalo Higuain, 34, 566121600, 1987/12/10, Premier League, 2018/2019, Forward, Chelsea, 1092, 496, 596, Argentina, 14, 6, 8, 5, 4, 1, 0, 0, 0, 0, 0, 5, 4, 1, 15, 3, 12, 0, 0, 0.41, 0, 0.41, 0.73, 0.15, 218, 1.24, 73, 78, 0, 0, 0, 33, 306, -1, 5
Abdoulaye Doucouré, 29, 725875200, 1993/01/01, Premier League, 2018/2019, Midfielder, Watford, 3062, 1566, 1496, France, 35, 18, 17, 5, 3, 2, 6, 2, 4, 0, 0, 5, 3, 2, 54, 27, 27, 7, 0, 0.32, 0.18, 0.15, 0.17, 0.12, 612, 1.59, 57, 87, 437, 510, 0.21, 124, 80, -1, 5
Ryan Guno Babel, 35, 535363200, 1986/12/19, Premier League, 2018/2019, Forward, Fulham, 1260, 668, 592, Netherlands, 16, 9, 7, 5, 3, 2, 3, 3, 0, 0, 0, 3, 2, 1, 24, 12, 12, 3, 0, 0.57, 0.21, 0.36, 0.4, 0.3, 252, 1.71, 53, 79, 420, 420, 0.21, 47, 61, -1, 3
Theo Walcott, 33, 606038400, 1989/03/16, Premier League, 2018/2019, Forward, Everton, 2122, 1114, 1008, England, 37, 19, 18, 5, 3, 2, 2, 2, 0, 0, 0, 13, 9, 4, 33, 18, 15, 1, 0, 0.3, 0.08, 0.21, 0.24, 0.18, 424, 1.4, 64, 57, 2122, 1061, 0.04, 90, 170, -1, 4
Shane Long, 35, 538300800, 1987/01/22, Premier League, 2018/2019, Forward, Southampton, 1269, 629, 640, Republic of Ireland, 26, 15, 11, 5, 3, 2, 1, 1, 0, 0, 0, 5, 2, 3, 20, 7, 13, 3, 0, 0.43, 0.07, 0.35, 0.43, 0.28, 254, 1.42, 63, 49, 423, 1269, 0.21, 51, 182, -1, 4
Alvaro Morata, 30, 719823600, 1992/10/23, Premier League, 2018/2019, Forward, Chelsea, 943, 530, 413, Spain, 16, 8, 8, 5, 3, 2, 0, 0, 0, 0, 0, 9, 4, 5, 11, 6, 5, 3, 0, 0.48, 0, 0.48, 0.51, 0.44, 189, 1.05, 86, 59, 314, 0, 0.29, 20, 338, -1, 4
Mark Noble, 35, 547455600, 1987/05/08, Premier League, 2018/2019, Midfielder, West Ham United, 2308, 1147, 1161, England, 31, 15, 16, 5, 2, 3, 5, 4, 1, 4, 0, 7, 4, 3, 29, 12, 17, 7, 1, 0.39, 0.19, 0.19, 0.16, 0.23, 462, 1.13, 80, 74, 289, 462, 0.31, 96, 70, -1, 5
Shane Duffy, 30, 694252800, 1992/01/01, Premier League, 2018/2019, Defender, Brighton & Hove Albion, 3088, 1558, 1530, Republic of Ireland, 35, 18, 17, 5, 2, 3, 1, 1, 0, 0, 0, 7, 5, 2, 51, 23, 28, 5, 1, 0.17, 0.03, 0.15, 0.12, 0.18, 618, 1.49, 61, 88, 515, 3088, 0.17, 123, 253, 115, 2
Michy Batshuayi, 29, 749545200, 1993/10/02, Premier League, 2018/2019, Forward, Crystal Palace, 756, 368, 388, Belgium, 11, 6, 5, 5, 2, 3, 0, 0, 0, 0, 0, 3, 2, 1, 11, 7, 4, 0, 0, 0.6, 0, 0.6, 0.49, 0.7, 151, 1.31, 69, 69, 0, 0, 0, 8, 307, -1, 4
Dele Alli, 26, 829206000, 1996/04/11, Premier League, 2018/2019, Midfielder, Tottenham Hotspur, 1827, 755, 1072, England, 25, 11, 14, 5, 1, 4, 3, 2, 1, 0, 0, 7, 3, 4, 17, 4, 13, 4, 0, 0.39, 0.15, 0.25, 0.12, 0.34, 365, 0.84, 107, 73, 457, 609, 0.2, 82, 97, -1, 5
James Milner, 36, 505209600, 1986/01/04, Premier League, 2018/2019, Midfielder, Liverpool, 1785, 646, 1139, England, 31, 12, 19, 5, 0, 5, 4, 2, 2, 3, 0, 18, 9, 9, 11, 4, 7, 7, 1, 0.45, 0.2, 0.25, 0, 0.4, 357, 0.55, 162, 58, 255, 446, 0.35, 81, 65, -1, 5
Rúben Diogo Da Silva Neves, 25, 858240000, 1997/03/13, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 3009, 1451, 1558, Portugal, 35, 17, 18, 4, 3, 1, 3, 2, 1, 2, 0, 8, 6, 2, 40, 19, 21, 8, 0, 0.21, 0.09, 0.12, 0.19, 0.06, 752, 1.2, 75, 86, 376, 1003, 0.24, 145, 162, -1, 3
Rúben Diogo Da Silva Neves, 25, 858240000, 1997/03/13, Premier League, 2018/2019, Midfielder, Wolverhampton Wanderers, 3009, 1451, 1558, Portugal, 35, 17, 18, 4, 3, 1, 3, 2, 1, 2, 0, 8, 6, 2, 40, 19, 21, 8, 0, 0.21, 0.09, 0.12, 0.19, 0.06, 752, 1.2, 75, 86, 376, 1003, 0.24, 145, 162, -1, 3
Fabian Schär, 30, 693216000, 1991/12/20, Premier League, 2018/2019, Defender, Newcastle United, 2002, 1173, 829, Switzerland, 24, 14, 10, 4, 3, 1, 1, 0, 1, 0, 0, 8, 5, 3, 21, 14, 7, 12, 0, 0.22, 0.04, 0.18, 0.23, 0.11, 501, 0.94, 95, 83, 167, 2002, 0.54, 110, 230, 23, 3
Callum Paterson, 28, 782031600, 1994/10/13, Premier League, 2018/2019, Defender, Cardiff City, 1996, 1024, 972, Scotland, 27, 14, 13, 4, 3, 1, 1, 0, 1, 0, 0, 7, 5, 2, 37, 18, 19, 4, 0, 0.23, 0.05, 0.18, 0.26, 0.09, 499, 1.67, 54, 74, 499, 1996, 0.18, 108, 202, 137, 3
Nathan Aké, 27, 793094400, 1995/02/18, Premier League, 2018/2019, Defender, AFC Bournemouth, 3412, 1710, 1702, Netherlands, 38, 19, 19, 4, 3, 1, 0, 0, 0, 0, 0, 10, 6, 4, 66, 23, 43, 3, 0, 0.11, 0, 0.11, 0.16, 0.05, 853, 1.74, 52, 90, 1137, 0, 0.08, 150, 337, 148, 5
Aaron Ramsey, 31, 662198400, 1990/12/26, Premier League, 2018/2019, Midfielder, Arsenal, 1327, 689, 638, Wales, 28, 14, 14, 4, 2, 2, 6, 5, 1, 0, 0, 7, 6, 1, 12, 2, 10, 0, 0, 0.68, 0.41, 0.27, 0.26, 0.28, 332, 0.81, 111, 47, 0, 221, 0, 69, 8, -1, 5
N'Golo Kanté, 31, 670233600, 1991/03/29, Premier League, 2018/2019, Midfielder, Chelsea, 3096, 1579, 1517, France, 36, 19, 17, 4, 2, 2, 4, 3, 1, 0, 0, 15, 10, 5, 37, 12, 25, 3, 0, 0.23, 0.12, 0.12, 0.11, 0.12, 774, 1.08, 84, 86, 1032, 774, 0.09, 141, 126, -1, 6
Lucas Digne, 29, 743151600, 1993/07/20, Premier League, 2018/2019, Defender, Everton, 2990, 1511, 1479, France, 35, 17, 18, 4, 2, 2, 4, 2, 2, 0, 0, 14, 9, 5, 36, 16, 20, 6, 1, 0.24, 0.12, 0.12, 0.12, 0.12, 748, 1.08, 83, 85, 427, 748, 0.21, 147, 125, 42, 5
Pierre-Emile Højbjerg, 27, 807606000, 1995/08/05, Premier League, 2018/2019, Midfielder, Southampton, 2764, 1416, 1348, Denmark, 31, 16, 15, 4, 2, 2, 3, 2, 1, 0, 0, 4, 1, 3, 52, 23, 29, 10, 2, 0.23, 0.1, 0.13, 0.13, 0.13, 691, 1.69, 53, 89, 251, 921, 0.36, 136, 148, -1, 5
Virgil van Dijk, 31, 678956400, 1991/07/08, Premier League, 2018/2019, Defender, Liverpool, 3385, 1675, 1710, Netherlands, 38, 19, 19, 4, 2, 2, 2, 1, 1, 0, 0, 21, 12, 9, 19, 8, 11, 1, 0, 0.16, 0.05, 0.11, 0.11, 0.11, 846, 0.51, 178, 89, 3385, 1693, 0.03, 152, 201, 5, 6
Granit Xhaka, 30, 717577200, 1992/09/27, Premier League, 2018/2019, Midfielder, Arsenal, 2502, 1317, 1185, Switzerland, 29, 15, 14, 4, 2, 2, 2, 0, 2, 0, 0, 7, 6, 1, 35, 11, 24, 10, 0, 0.22, 0.07, 0.14, 0.14, 0.15, 626, 1.26, 71, 86, 250, 1251, 0.36, 127, 183, -1, 6
Souleymane Bamba, 37, 474451200, 1985/01/13, Premier League, 2018/2019, Defender, Cardiff City, 2475, 1260, 1215, Ivory Coast, 28, 14, 14, 4, 2, 2, 1, 1, 0, 0, 0, 7, 4, 3, 46, 23, 23, 7, 0, 0.18, 0.04, 0.15, 0.14, 0.15, 619, 1.67, 54, 88, 354, 2475, 0.25, 118, 222, 136, 4
Willy Boly, 31, 665568000, 1991/02/03, Premier League, 2018/2019, Defender, Wolverhampton Wanderers, 3169, 1530, 1639, France, 36, 17, 19, 4, 2, 2, 0, 0, 0, 0, 0, 8, 6, 2, 38, 17, 21, 3, 1, 0.11, 0, 0.11, 0.12, 0.11, 792, 1.08, 83, 88, 792, 0, 0.11, 148, 312, 43, 4
Karlan Ahearne-Grant, 24, 882518400, 1997/12/19, Premier League, 2018/2019, Forward, Huddersfield Town, 874, 331, 543, England, 13, 6, 7, 4, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 22, 7, 15, 0, 0, 0.41, 0, 0.41, 0.54, 0.33, 219, 2.27, 40, 67, 0, 0, 0, 31, 308, -1, 1
Matt Doherty, 30, 695548800, 1992/01/16, Premier League, 2018/2019, Defender, Wolverhampton Wanderers, 3147, 1557, 1590, Republic of Ireland, 38, 19, 19, 4, 1, 3, 5, 4, 1, 0, 0, 9, 7, 2, 38, 18, 20, 5, 0, 0.26, 0.14, 0.11, 0.06, 0.17, 787, 1.09, 83, 83, 629, 629, 0.14, 155, 100, 46, 5
Jesse Lingard, 29, 724406400, 1992/12/15, Premier League, 2018/2019, Midfielder, Manchester United, 1668, 963, 705, England, 27, 15, 12, 4, 1, 3, 2, 1, 1, 1, 0, 6, 2, 4, 25, 16, 9, 3, 0, 0.32, 0.11, 0.22, 0.09, 0.38, 417, 1.35, 67, 62, 556, 834, 0.16, 87, 135, -1, 5
Erik Lamela, 30, 699696000, 1992/03/04, Premier League, 2018/2019, Midfielder, Tottenham Hotspur, 971, 493, 478, Argentina, 19, 11, 8, 4, 1, 3, 2, 1, 1, 0, 0, 5, 3, 2, 11, 5, 6, 2, 0, 0.56, 0.19, 0.37, 0.18, 0.56, 243, 1.02, 88, 51, 486, 486, 0.19, 45, 69, -1, 6
Demarai Gray, 26, 835945200, 1996/06/28, Premier League, 2018/2019, Midfielder, Leicester City, 1992, 1069, 923, England, 34, 17, 17, 4, 1, 3, 1, 1, 0, 0, 0, 8, 5, 3, 26, 10, 16, 2, 0, 0.23, 0.05, 0.18, 0.08, 0.29, 498, 1.17, 77, 59, 996, 1992, 0.09, 103, 212, -1, 3
Jeffrey Schlupp, 29, 725097600, 1992/12/23, Premier League, 2018/2019, Defender, Crystal Palace, 1665, 849, 816, Ghana, 30, 14, 16, 4, 1, 3, 1, 1, 0, 0, 0, 8, 4, 4, 24, 11, 13, 1, 0, 0.27, 0.05, 0.22, 0.11, 0.33, 416, 1.3, 69, 56, 1665, 1665, 0.05, 89, 209, 86, 5
Nathaniel Mendez-Laing, 30, 703321200, 1992/04/15, Premier League, 2018/2019, Midfielder, Cardiff City, 984, 442, 542, England, 20, 9, 11, 4, 0, 4, 1, 1, 0, 1, 0, 6, 3, 3, 15, 8, 7, 0, 0, 0.46, 0.09, 0.37, 0, 0.66, 246, 1.37, 66, 49, 0, 984, 0, 46, 159, -1, 5
Dwight McNeil, 22, 943257600, 1999/11/22, Premier League, 2018/2019, Forward, Burnley, 1599, 941, 658, England, 21, 12, 9, 3, 3, 0, 5, 3, 2, 0, 0, 4, 3, 1, 22, 12, 10, 2, 0, 0.45, 0.28, 0.17, 0.29, 0, 533, 1.24, 73, 76, 800, 320, 0.11, 112, 29, -1, 7
Dwight McNeil, 22, 943257600, 1999/11/22, Premier League, 2018/2019, Forward, Burnley, 1599, 941, 658, England, 21, 12, 9, 3, 3, 0, 5, 3, 2, 0, 0, 4, 3, 1, 22, 12, 10, 2, 0, 0.45, 0.28, 0.17, 0.29, 0, 533, 1.24, 73, 76, 800, 320, 0.11, 112, 29, -1, 7
Juan Mata, 34, 578214000, 1988/04/28, Premier League, 2018/2019, Midfielder, Manchester United, 1294, 833, 461, Spain, 22, 13, 9, 3, 3, 0, 2, 2, 0, 0, 0, 4, 2, 2, 14, 6, 8, 3, 0, 0.35, 0.14, 0.21, 0.32, 0, 431, 0.97, 92, 59, 431, 647, 0.21, 92, 103, -1, 6
David Luiz, 35, 546073200, 1987/04/22, Premier League, 2018/2019, Defender, Chelsea, 3239, 1709, 1530, Brazil, 36, 19, 17, 3, 3, 0, 2, 1, 1, 0, 0, 16, 10, 6, 35, 12, 23, 3, 0, 0.14, 0.06, 0.08, 0.16, 0, 1080, 0.97, 93, 90, 1080, 1620, 0.08, 186, 198, 27, 9
Lucas Perez, 34, 589878000, 1988/09/10, Premier League, 2018/2019, Forward, West Ham United, 468, 287, 181, Spain, 15, 10, 5, 3, 3, 0, 0, 0, 0, 0, 0, 3, 2, 1, 9, 5, 4, 0, 0, 0.58, 0, 0.58, 0.94, 0, 156, 1.73, 52, 31, 0, 0, 0, 10, 276, -1, 6
José Holebas, 38, 457167600, 1984/06/27, Premier League, 2018/2019, Defender, Watford, 2394, 1224, 1170, Greece, 28, 15, 13, 3, 2, 1, 6, 5, 1, 0, 0, 5, 3, 2, 38, 20, 18, 13, 1, 0.34, 0.23, 0.11, 0.15, 0.08, 798, 1.43, 63, 86, 171, 399, 0.53, 153, 49, 105, 7
Willian, 34, 587113200, 1988/08/09, Premier League, 2018/2019, Forward, Chelsea, 2108, 833, 1275, Brazil, 32, 15, 17, 3, 2, 1, 6, 3, 3, 0, 0, 13, 7, 6, 23, 6, 17, 2, 0, 0.38, 0.26, 0.13, 0.22, 0.07, 703, 0.98, 92, 66, 1054, 351, 0.09, 132, 36, -1, 8
